LOG1;DATA_HORA
AV.ASSIS BRASIL;20090101 04:00
R.JOSE DE ALENCAR;20090101 04:40
R.EUSTAQUIO INACIO DA SILVEIRA;20090101 07:00
AV.FARRAPOS;20090101 15:15
AV.PROTASIO ALVES;20090101 17:00
AV.JOAO PESSOA;20090101 19:00
AV.PROF OSCAR.PEREIRA;20090101 21:40
AV.VENANCIO AIRES;20090101 23:07
R.GEN COUTO DE MAGALHAES;20090102 08:00
R.JOSE FERREIRA JARDIM;20090102 10:10
AV.SEVERO DULLIUS;20090102 12:00
AV.PLINIO BRASIL MILANO;20090102 12:30
R.DOS ANDRADAS;20090102 13:00
AV.CRISTOVAO COLOMBO;20090102 15:15
R.DR.PEREIRA NETO;20090102 17:20
R.ACORES;20090102 18:20
AV.OSVALDO ARANHA;20090102 19:27
AV.IPIRANGA;20090102 21:20
AV.PROF OSCAR.PEREIRA;20090102 21:45
AV.BALTAZAR.DE OLIVEIRA GARCIA;20090102 21:45
R.CABRAL;20090102 22:15
AV.ERICO VERISSIMO;20090102 22:18
R.DONA ADDA MASCARENHAS DE MORAES;20090102 22:30
AV.INDEPENDENCIA;20090102 22:45
AV.ALCIDES MAIA;20090102 23:30
R.VOLUNTARIOS DA PATRIA;20090103 01:00
AV.BALTAZAR.DE OLIVEIRA GARCIA;20090103 01:00
AV.PROTASIO ALVES;20090103 01:10
AV.PROF OSCAR.PEREIRA;20090103 06:10
AV.DO FORTE;20090103 06:40
AV.JOAO PESSOA;20090103 06:45
R.DONA FIRMINA;20090103 08:55
R.DONA MARGARIDA;20090103 09:20
AV.DOS GAUCHOS;20090103 09:20
AV.FRANCISCO SILVEIRA BITENCOURT;20090103 09:25
R.DOS ANDRADAS;20090103 10:30
AV.GUAIBA;20090103 10:35
AV.CRISTOVAO COLOMBO;20090103 10:45
AV.NONOAI;20090103 11:30
ESTR.JOAO ANTONIO SILVEIRA;20090103 11:45
AV.PROTASIO ALVES;20090103 12:20
AV.PROF OSCAR.PEREIRA;20090103 13:00
AV.DANTE ANGELO PILLA;20090103 13:00
R.ALMIRANTE TAMANDARE;20090103 13:05
AV.JOAO PESSOA;20090103 13:53
AV.BENTO GONCALVES;20090103 14:00
R.TEN ARY TARRAGO;20090103 16:42
R.MARIANO DE MATOS;20090103 17:10
AV.PROF OSCAR.PEREIRA;20090103 17:20
AV.BERLIM;20090103 17:45
AV.EDGAR.PIRES DE CASTRO;20090103 19:00
AV.BOGOTA;20090103 19:05
AV.BORGES DE MEDEIROS;20090103 19:10
AV.IPIRANGA;20090103 19:55
R.MARQUES DO POMBAL;20090103 20:15
R.MARQUES DO POMBAL;20090103 21:40
AV.DO FORTE;20090103 22:00
R.IBICUI;20090103 22:15
AV.PLINIO BRASIL MILANO;20090103 22:15
AV.PRAIA DE BELAS;20090103 23:30
R.JOSE DE ALENCAR;20090104 00:10
AV.LOUREIRO DA SILVA;20090104 02:00
R.BOTAFOGO;20090104 04:10
AV.SALVADOR.LEAO;20090104 10:10
AV.IPIRANGA;20090104 11:00
R.FELIZARDO;20090104 11:30
AV.OSVALDO ARANHA;20090104 12:15
AV.DR.NILO PECANHA;20090104 12:15
R.WASHINGTON LUIZ;20090104 13:10
AV.ASSIS BRASIL;20090104 13:10
AV.PROTASIO ALVES;20090104 13:15
R.BOTAFOGO;20090104 13:25
AV.VENANCIO AIRES;20090104 14:00
AV.PRESIDENTE FRANKLIN ROOSEVELT;20090104 15:45
AV.DIARIO DE NOTICIAS;20090104 17:10
AV.CHUI;20090104 17:50
ESTR.JOAO ANTONIO SILVEIRA;20090104 18:00
AV.VENANCIO AIRES;20090104 18:10
AV.PRESIDENTE CASTELO BRANCO;20090104 18:51
R.SOUZA REIS;20090104 19:10
R.DR.CAMPOS VELHO;20090104 20:20
AV.ASSIS BRASIL;20090104 20:46
AV.OTTO NIEMEYER;20090104 22:00
R.CAIRU;20090104 22:00
AV.BORGES DE MEDEIROS;20090104 22:50
AV.EDUARDO PRADO;20090104 23:10
R.CEL MASSOT;20090104 23:25
R.CAIRU;20090104 23:35
R.SILVA SO;20090105 01:40
R.JOSE DE ALENCAR;20090105 02:30
AV.SERTORIO;20090105 04:40
AV.SERTORIO;20090105 07:30
AV.FARRAPOS;20090105 07:40
AV.MANOEL ELIAS;20090105 07:50
R.FELIPE DE OLIVEIRA;20090105 07:55
AV.EDUARDO PRADO;20090105 08:00
AV.PAULO GAMA;20090105 08:00
AV.IPIRANGA;20090105 08:10
R.GARIBALDI;20090105 08:25
AV.PRESIDENTE CASTELO BRANCO;20090105 08:30
AV.JOAO PESSOA;20090105 08:40
R.GASTON ENGLERT;20090105 08:45
AV.FARRAPOS;20090105 09:00
AV.PROTASIO ALVES;20090105 09:05
R.DR.SALVADOR.FRANCA;20090105 09:30
AV.VENANCIO AIRES;20090105 09:34
TRAV.PESQUEIRO;20090105 09:45
R.DR.SALVADOR.FRANCA;20090105 10:00
R.CEL FERNANDO MACHADO;20090105 10:20
R.BARAO DO GUAIBA;20090105 10:24
AV.ASSIS BRASIL;20090105 10:25
ESTR.ARMANDO INACIO DA SILVEIRA;20090105 11:00
AV.PROF OSCAR.PEREIRA;20090105 11:05
AV.DA CAVALHADA;20090105 11:25
R.CAIRU;20090105 11:37
AV.BRASILIANO INDIO DE MORAES;20090105 11:37
AV.INDEPENDENCIA;20090105 11:55
AV.IPIRANGA;20090105 12:10
R.CAIRU;20090105 12:20
AV.BALTAZAR.DE OLIVEIRA GARCIA;20090105 13:10
R.SANTANA;20090105 13:30
AV.ASSIS BRASIL;20090105 13:40
R.ANDRE PUENTE;20090105 13:50
R.RAMIRO BARCELOS;20090105 14:15
R.DR.CAMPOS VELHO;20090105 14:30
R.DR.PEREIRA NETO;20090105 14:40
R.GEN BENTO MARTINS;20090105 14:55
AV.FARRAPOS;20090105 15:00
AV.PRESIDENTE CASTELO BRANCO;20090105 15:00
AV.JOAO PESSOA;20090105 15:15
R.GUADALAJARA;20090105 15:15
AV.CARLOS GOMES;20090105 15:20
R.DR.CAMPOS VELHO;20090105 15:30
AV.EDGAR.PIRES DE CASTRO;20090105 15:40
AV.ASSIS BRASIL;20090105 15:45
AV.BALTAZAR.DE OLIVEIRA GARCIA;20090105 16:05
AV.IPIRANGA;20090105 16:10
R.OLAVO BARRETO VIANA;20090105 16:35
